Размер;Потоки;Время(с);Операций;MFLOPS;Ускорение
200;1;0.82;16000000;19.51;1.00
200;2;0.43;16000000;37.21;1.91
200;4;0.24;16000000;66.67;3.42
200;8;0.18;16000000;88.89;4.56
400;1;6.10;128000000;20.98;1.00
400;2;3.15;128000000;40.63;1.94
400;4;1.70;128000000;75.29;3.59
400;8;1.15;128000000;111.30;5.30
800;1;47.80;1024000000;21.42;1.00
800;2;24.20;1024000000;42.31;1.98
800;4;12.50;1024000000;81.92;3.82
800;8;7.80;1024000000;131.28;6.13
1200;1;162.50;3456000000;21.27;1.00
1200;2;82.10;3456000000;42.10;1.98
1200;4;42.30;3456000000;81.70;3.84
1200;8;26.40;3456000000;130.91;6.16
1600;1;385.20;8192000000;21.27;1.00
1600;2;194.50;8192000000;42.12;1.98
1600;4;99.80;8192000000;82.08;3.86
1600;8;62.30;8192000000;131.49;6.18
2000;1;752.80;16000000000;21.25;1.00
2000;2;380.10;16000000000;42.09;1.98
2000;4;195.20;16000000000;81.97;3.86
2000;8;121.50;16000000000;131.69;6.20
